Location,,,Location,Location,Skip,Location,Date,Temperature,Temperature,Temperature,Dew point,Dew point,Dew point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Pressure,Pressure,Pressure,Precipitation
Station,latitude,longitude,Borough,City,State,ZipCode,WDate,Temperature_Max,Temperature_Avg,Temperature_Min,Dewpot_Max,Dewpot_Avg,Dewpot_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wdspeed_Max,Wdspeed_Avg,Wdspeed_Min,Pressure_Max,Pressure_Min,Pressure_Avg,Precipitation_Total
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/22/16,78.9,70.2,59.4,57,52.8,43.8,72,54,42,22.6,6.5,0,30,29.8,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/23/16,71,62.7,54.7,60.3,48,28.2,93,62,35,24.4,5.7,0,29.98,29.76,29.9,0.37
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/24/16,67,53.7,45.2,38.8,23.2,15.4,68,32,16,23.3,5.7,0,30.13,29.96,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/25/16,66,56.6,46.7,45.5,38,23.4,76,52,24,15,3.4,0,30.07,29.85,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/26/16,54.2,50.1,44.8,49.6,46.1,38.5,94,86,72,19.9,6,0,29.89,29.66,29.8,0.71
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/27/16,59.6,51.4,44.4,43.7,39.3,34.2,80,64,44,23.7,6.1,0,29.96,29.86,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/28/16,57.4,50.9,44.4,44,29.4,20.3,77,45,23,18.8,4.7,0,30.09,29.91,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/29/16,52.6,49,44.1,41.9,36.6,30.9,89,62,48,20.6,5.1,0,30.18,30.03,30.1,0.08
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/30/16,62.7,51.7,44,42.1,37,30.6,90,59,30,17.9,4.7,0,30.27,30.15,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,5/1/16,49,46.9,43.4,45.1,40.6,34.3,95,79,57,21.5,4.6,0,30.25,30.08,30.2,0.22
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,5/2/16,59.6,50.5,43.1,51.7,46.7,41.9,96,87,68,16.1,3.4,0,30.12,29.89,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,5/3/16,54.5,51.4,50.1,52,49.3,47.5,95,92,84,21,4.5,0,29.95,29.8,29.9,0.72
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,5/4/16,50.4,48.8,47.5,48.8,45,41.3,95,87,74,25.9,5.7,0,29.85,29.71,29.8,0.07
